UF;Cod_Infracao;Quantidade
MATO GROSSO DO SUL;5142;109
MINAS GERAIS;5142;257
PARA;5142;39
PARAIBA;5142;31
PARANA;5142;296
PERNAMBUCO;5142;74
PIAUI;5142;23
RIO DE JANEIRO;5142;116
RIO GRANDE DO NORTE;5142;33
RIO GRANDE DO SUL;5142;196
RONDONIA;5142;65
RORAIMA;5142;6
SANTA CATARINA;5142;348
SAO PAULO;5142;1129
SERGIPE;5142;34
TOCANTINS;5142;8
ACRE;5150;2
ALAGOAS;5150;3
BAHIA;5150;25
CEARA;5150;151
DISTRITO FEDERAL;5150;4
ESPIRITO SANTO;5150;4
GOIAS;5150;8
MATO GROSSO;5150;4
MATO GROSSO DO SUL;5150;2
MINAS GERAIS;5150;42
PARA;5150;1
PARAIBA;5150;3
PARANA;5150;19
PERNAMBUCO;5150;10
PIAUI;5150;7
RIO DE JANEIRO;5150;5
RIO GRANDE DO NORTE;5150;12
RIO GRANDE DO SUL;5150;35
RONDONIA;5150;2
RORAIMA;5150;2
SANTA CATARINA;5150;15
SAO PAULO;5150;37
SERGIPE;5150;4
ACRE;5169;282
ALAGOAS;5169;46
AMAZONAS;5169;265
AMAPA;5169;65
BAHIA;5169;86
CEARA;5169;60
DISTRITO FEDERAL;5169;114
ESPIRITO SANTO;5169;65
GOIAS;5169;386
MARANHAO;5169;339
MATO GROSSO;5169;484
MATO GROSSO DO SUL;5169;205
MINAS GERAIS;5169;2230
PARA;5169;200
PARAIBA;5169;51
PARANA;5169;676
PERNAMBUCO;5169;122
PIAUI;5169;51
RIO DE JANEIRO;5169;103
RIO GRANDE DO NORTE;5169;158
RIO GRANDE DO SUL;5169;233
RONDONIA;5169;351
RORAIMA;5169;12
SANTA CATARINA;5169;325
SAO PAULO;5169;1393
SERGIPE;5169;41
TOCANTINS;5169;17
ACRE;5177;19
BAHIA;5177;3
CEARA;5177;1
DISTRITO FEDERAL;5177;3
GOIAS;5177;2
MARANHAO;5177;1
MATO GROSSO;5177;10
MATO GROSSO DO SUL;5177;5
MINAS GERAIS;5177;94
PARANA;5177;29
PERNAMBUCO;5177;1
RIO DE JANEIRO;5177;1
RIO GRANDE DO SUL;5177;13
RONDONIA;5177;1
SANTA CATARINA;5177;7
SAO PAULO;5177;47
ACRE;5185;250
ALAGOAS;5185;1279
AMAZONAS;5185;6044
AMAPA;5185;448
BAHIA;5185;4703
CEARA;5185;5049
DISTRITO FEDERAL;5185;8151
ESPIRITO SANTO;5185;2039
GOIAS;5185;7849
MARANHAO;5185;2094
MATO GROSSO;5185;5291
MATO GROSSO DO SUL;5185;4231
MINAS GERAIS;5185;17812
PARA;5185;2546
PARAIBA;5185;3498
PARANA;5185;15262
PERNAMBUCO;5185;2102
PIAUI;5185;1461
RIO DE JANEIRO;5185;6589
RIO GRANDE DO NORTE;5185;1807
RIO GRANDE DO SUL;5185;7735
RONDONIA;5185;1307
RORAIMA;5185;218
SANTA CATARINA;5185;12984
SAO PAULO;5185;96397
SERGIPE;5185;1280
TOCANTINS;5185;357
ACRE;5193;43
ALAGOAS;5193;92
AMAZONAS;5193;195
AMAPA;5193;46
BAHIA;5193;388
CEARA;5193;480
DISTRITO FEDERAL;5193;415
ESPIRITO SANTO;5193;222
GOIAS;5193;400
MARANHAO;5193;193
MATO GROSSO;5193;366
MATO GROSSO DO SUL;5193;303
MINAS GERAIS;5193;1214
PARA;5193;346
PARAIBA;5193;146
PARANA;5193;1984
PERNAMBUCO;5193;178
PIAUI;5193;79
RIO DE JANEIRO;5193;557
RIO GRANDE DO NORTE;5193;180
RIO GRANDE DO SUL;5193;561
RONDONIA;5193;123
RORAIMA;5193;29
SANTA CATARINA;5193;850
SAO PAULO;5193;4111
SERGIPE;5193;71
TOCANTINS;5193;48
ACRE;5207;44
ALAGOAS;5207;112
AMAZONAS;5207;67
AMAPA;5207;8
BAHIA;5207;583
CEARA;5207;154
DISTRITO FEDERAL;5207;347
ESPIRITO SANTO;5207;100
GOIAS;5207;795
MARANHAO;5207;167
MATO GROSSO;5207;105
MATO GROSSO DO SUL;5207;94
MINAS GERAIS;5207;787
PARA;5207;64
PARAIBA;5207;55
PARANA;5207;475
PERNAMBUCO;5207;160
PIAUI;5207;44
RIO DE JANEIRO;5207;186
RIO GRANDE DO NORTE;5207;211
RIO GRANDE DO SUL;5207;323
RONDONIA;5207;114
RORAIMA;5207;1
SANTA CATARINA;5207;678
SAO PAULO;5207;4417
SERGIPE;5207;113
TOCANTINS;5207;23
ACRE;5215;9
ALAGOAS;5215;34
AMAZONAS;5215;72
AMAPA;5215;5
BAHIA;5215;134
CEARA;5215;38
DISTRITO FEDERAL;5215;20
ESPIRITO SANTO;5215;20
GOIAS;5215;72
MARANHAO;5215;36
MATO GROSSO;5215;22
MATO GROSSO DO SUL;5215;27
MINAS GERAIS;5215;284
PARA;5215;91
PARAIBA;5215;40
PARANA;5215;163
PERNAMBUCO;5215;26
PIAUI;5215;2
RIO DE JANEIRO;5215;162
RIO GRANDE DO NORTE;5215;28
RIO GRANDE DO SUL;5215;45
RONDONIA;5215;28
SANTA CATARINA;5215;94
SAO PAULO;5215;1267
SERGIPE;5215;12
TOCANTINS;5215;3
ACRE;5223;1
ALAGOAS;5223;1
AMAZONAS;5223;1
BAHIA;5223;8
CEARA;5223;1
DISTRITO FEDERAL;5223;3
ESPIRITO SANTO;5223;4
GOIAS;5223;4
MATO GROSSO DO SUL;5223;1
MINAS GERAIS;5223;4
PARA;5223;4
PARANA;5223;1
PERNAMBUCO;5223;4
RIO DE JANEIRO;5223;5
SANTA CATARINA;5223;3
SAO PAULO;5223;12
ACRE;5231;3
ALAGOAS;5231;6
AMAPA;5231;1
BAHIA;5231;18
CEARA;5231;13
DISTRITO FEDERAL;5231;22
ESPIRITO SANTO;5231;12
GOIAS;5231;11
MARANHAO;5231;2
MATO GROSSO;5231;7
MATO GROSSO DO SUL;5231;8
MINAS GERAIS;5231;56
PARA;5231;3
PARAIBA;5231;5
PARANA;5231;105
PERNAMBUCO;5231;8
PIAUI;5231;1
RIO DE JANEIRO;5231;15
RIO GRANDE DO NORTE;5231;8
RIO GRANDE DO SUL;5231;28
RONDONIA;5231;5
RORAIMA;5231;1
SANTA CATARINA;5231;79
SAO PAULO;5231;218
SERGIPE;5231;7
ACRE;5240;1
AMAZONAS;5240;1
BAHIA;5240;4
CEARA;5240;2
MARANHAO;5240;4
MATO GROSSO;5240;2
MINAS GERAIS;5240;2
PARA;5240;10
PARANA;5240;8
PERNAMBUCO;5240;5
RIO DE JANEIRO;5240;3
RIO GRANDE DO SUL;5240;2
SANTA CATARINA;5240;7
SAO PAULO;5240;50
SERGIPE;5240;1
ACRE;5258;4
ALAGOAS;5258;1
AMAPA;5258;1
BAHIA;5258;12
CEARA;5258;3
DISTRITO FEDERAL;5258;27
ESPIRITO SANTO;5258;4
GOIAS;5258;35
MARANHAO;5258;14
MATO GROSSO;5258;2
MATO GROSSO DO SUL;5258;6
MINAS GERAIS;5258;42
PARA;5258;8
PARANA;5258;1
PERNAMBUCO;5258;2
PIAUI;5258;1
RIO DE JANEIRO;5258;11
RIO GRANDE DO NORTE;5258;1
RIO GRANDE DO SUL;5258;3
RONDONIA;5258;5
RORAIMA;5258;1
SANTA CATARINA;5258;18
SAO PAULO;5258;132
SERGIPE;5258;2
TOCANTINS;5258;2
ACRE;5266;2
AMAZONAS;5266;1
AMAPA;5266;1
BAHIA;5266;56
CEARA;5266;4
DISTRITO FEDERAL;5266;7
ESPIRITO SANTO;5266;2
GOIAS;5266;9
MARANHAO;5266;1
MATO GROSSO DO SUL;5266;2
MINAS GERAIS;5266;10
PARAIBA;5266;2
PARANA;5266;6
PERNAMBUCO;5266;12
RIO DE JANEIRO;5266;12
RIO GRANDE DO NORTE;5266;1
RIO GRANDE DO SUL;5266;2
RONDONIA;5266;2
SANTA CATARINA;5266;19
SAO PAULO;5266;143
SERGIPE;5266;1
ACRE;5274;49
ALAGOAS;5274;33
AMAZONAS;5274;18
AMAPA;5274;7
BAHIA;5274;384
CEARA;5274;144
DISTRITO FEDERAL;5274;68
ESPIRITO SANTO;5274;39
GOIAS;5274;310
MARANHAO;5274;335
MATO GROSSO;5274;154
MATO GROSSO DO SUL;5274;112
MINAS GERAIS;5274;492
PARA;5274;34
PARAIBA;5274;47
PARANA;5274;380
PERNAMBUCO;5274;103
PIAUI;5274;27
RIO DE JANEIRO;5274;77
RIO GRANDE DO NORTE;5274;49
RIO GRANDE DO SUL;5274;155
RONDONIA;5274;91
RORAIMA;5274;2
SANTA CATARINA;5274;374
SAO PAULO;5274;2046
SERGIPE;5274;30
TOCANTINS;5274;17
ACRE;5282;2
AMAPA;5282;2
BAHIA;5282;7
CEARA;5282;2
DISTRITO FEDERAL;5282;2
ESPIRITO SANTO;5282;6
GOIAS;5282;10
MARANHAO;5282;3
MATO GROSSO;5282;3
MATO GROSSO DO SUL;5282;8
MINAS GERAIS;5282;40
PARAIBA;5282;1
PARANA;5282;13
PERNAMBUCO;5282;4
PIAUI;5282;1
RIO DE JANEIRO;5282;1
RIO GRANDE DO NORTE;5282;2
RIO GRANDE DO SUL;5282;8
RONDONIA;5282;1
SANTA CATARINA;5282;19
SAO PAULO;5282;32
SERGIPE;5282;1
ACRE;5290;1
BAHIA;5290;1
DISTRITO FEDERAL;5290;1
ESPIRITO SANTO;5290;2
GOIAS;5290;3
MARANHAO;5290;1
MATO GROSSO;5290;1
MATO GROSSO DO SUL;5290;2
MINAS GERAIS;5290;9
PARANA;5290;5
PERNAMBUCO;5290;2
RIO DE JANEIRO;5290;2
RIO GRANDE DO SUL;5290;2
SANTA CATARINA;5290;11
SAO PAULO;5290;7
TOCANTINS;5290;1
ACRE;5304;3
CEARA;5304;1
ESPIRITO SANTO;5304;5
GOIAS;5304;2
MARANHAO;5304;1
MATO GROSSO;5304;3
MATO GROSSO DO SUL;5304;5
MINAS GERAIS;5304;15
PARAIBA;5304;2
PARANA;5304;2
PIAUI;5304;1
RIO DE JANEIRO;5304;3
RIO GRANDE DO NORTE;5304;2
RIO GRANDE DO SUL;5304;3
RONDONIA;5304;4
SANTA CATARINA;5304;6
SAO PAULO;5304;9
AMAPA;5312;1
MATO GROSSO;5312;1
MINAS GERAIS;5312;1
PARANA;5312;1
RIO GRANDE DO SUL;5312;1
SANTA CATARINA;5312;2
SAO PAULO;5312;1
ALAGOAS;5320;1
BAHIA;5320;2
DISTRITO FEDERAL;5320;1
ESPIRITO SANTO;5320;4
GOIAS;5320;2
MATO GROSSO;5320;1
MATO GROSSO DO SUL;5320;10
MINAS GERAIS;5320;18
PARAIBA;5320;1
PARANA;5320;7
PERNAMBUCO;5320;1
RIO DE JANEIRO;5320;1
RIO GRANDE DO NORTE;5320;6
RIO GRANDE DO SUL;5320;1
SANTA CATARINA;5320;15
SAO PAULO;5320;8
DISTRITO FEDERAL;5339;1
MATO GROSSO DO SUL;5339;1
SAO PAULO;5339;1
ALAGOAS;5347;2
AMAPA;5347;2
BAHIA;5347;4
CEARA;5347;1
DISTRITO FEDERAL;5347;5
ESPIRITO SANTO;5347;4
GOIAS;5347;5
MARANHAO;5347;2
MATO GROSSO;5347;1
MATO GROSSO DO SUL;5347;2
MINAS GERAIS;5347;21
PARAIBA;5347;2
PARANA;5347;9
PIAUI;5347;1
RIO DE JANEIRO;5347;3
RIO GRANDE DO NORTE;5347;4
RIO GRANDE DO SUL;5347;16
SANTA CATARINA;5347;14
SAO PAULO;5347;17
SERGIPE;5347;1
TOCANTINS;5347;1
BAHIA;5355;2
CEARA;5355;1
DISTRITO FEDERAL;5355;2
GOIAS;5355;1
MATO GROSSO DO SUL;5355;2
MINAS GERAIS;5355;4
PARA;5355;1
PARANA;5355;4
RIO DE JANEIRO;5355;1
SANTA CATARINA;5355;3
SAO PAULO;5355;2
ACRE;5363;1
ALAGOAS;5363;1
BAHIA;5363;2
DISTRITO FEDERAL;5363;1
MARANHAO;5363;1
PARA;5363;1
PARAIBA;5363;1
PERNAMBUCO;5363;1
PIAUI;5363;1
RIO DE JANEIRO;5363;2
SANTA CATARINA;5363;1
SAO PAULO;5363;1
ALAGOAS;5371;1
AMAZONAS;5371;10
BAHIA;5371;17
CEARA;5371;3
DISTRITO FEDERAL;5371;9
ESPIRITO SANTO;5371;4
GOIAS;5371;11
MARANHAO;5371;6
MATO GROSSO;5371;3
MATO GROSSO DO SUL;5371;8
MINAS GERAIS;5371;22
PARA;5371;4
PARAIBA;5371;4
PARANA;5371;12
PERNAMBUCO;5371;4
RIO DE JANEIRO;5371;4
RIO GRANDE DO NORTE;5371;3
RIO GRANDE DO SUL;5371;16
RONDONIA;5371;4
SANTA CATARINA;5371;19
SAO PAULO;5371;113
SERGIPE;5371;1
ACRE;5380;25
ALAGOAS;5380;203
AMAZONAS;5380;133
AMAPA;5380;6
BAHIA;5380;566
CEARA;5380;1000
DISTRITO FEDERAL;5380;385
ESPIRITO SANTO;5380;97
GOIAS;5380;1207
MARANHAO;5380;192
MATO GROSSO;5380;128
MATO GROSSO DO SUL;5380;140
MINAS GERAIS;5380;717
PARA;5380;236
PARAIBA;5380;159
PARANA;5380;447
PERNAMBUCO;5380;382
PIAUI;5380;78
RIO DE JANEIRO;5380;684
RIO GRANDE DO NORTE;5380;148
RIO GRANDE DO SUL;5380;137
RONDONIA;5380;64
RORAIMA;5380;5
SANTA CATARINA;5380;360
SAO PAULO;5380;2780
SERGIPE;5380;127
TOCANTINS;5380;16
ACRE;5398;7
ALAGOAS;5398;3
AMAZONAS;5398;9
AMAPA;5398;3
BAHIA;5398;43
CEARA;5398;17
DISTRITO FEDERAL;5398;14
ESPIRITO SANTO;5398;8
GOIAS;5398;20
MARANHAO;5398;30
MATO GROSSO;5398;5
MATO GROSSO DO SUL;5398;5
MINAS GERAIS;5398;86
PARA;5398;9
PARAIBA;5398;15
PARANA;5398;38
PERNAMBUCO;5398;11
PIAUI;5398;2
RIO DE JANEIRO;5398;8
RIO GRANDE DO NORTE;5398;9
RIO GRANDE DO SUL;5398;22
RONDONIA;5398;2
RORAIMA;5398;2
SANTA CATARINA;5398;29
SAO PAULO;5398;121
SERGIPE;5398;8
TOCANTINS;5398;1
ACRE;5401;9
ALAGOAS;5401;37
AMAZONAS;5401;52
AMAPA;5401;3
BAHIA;5401;104
CEARA;5401;228
DISTRITO FEDERAL;5401;38
ESPIRITO SANTO;5401;17
GOIAS;5401;25
MARANHAO;5401;109
MATO GROSSO;5401;6
MATO GROSSO DO SUL;5401;14
MINAS GERAIS;5401;146
PARA;5401;30
PARAIBA;5401;43
PARANA;5401;40
PERNAMBUCO;5401;18
PIAUI;5401;10
RIO DE JANEIRO;5401;17
RIO GRANDE DO NORTE;5401;62
RIO GRANDE DO SUL;5401;20
RONDONIA;5401;8
RORAIMA;5401;4
SANTA CATARINA;5401;43
SAO PAULO;5401;243
SERGIPE;5401;46
TOCANTINS;5401;2
ACRE;5410;10
ALAGOAS;5410;37
AMAZONAS;5410;78
AMAPA;5410;10
BAHIA;5410;653
CEARA;5410;897
DISTRITO FEDERAL;5410;1352
ESPIRITO SANTO;5410;60
GOIAS;5410;215
MARANHAO;5410;37
MATO GROSSO;5410;31
MATO GROSSO DO SUL;5410;58
MINAS GERAIS;5410;349
PARA;5410;184
PARAIBA;5410;36
PARANA;5410;264
PERNAMBUCO;5410;70
PIAUI;5410;68
RIO DE JANEIRO;5410;386
RIO GRANDE DO NORTE;5410;92
RIO GRANDE DO SUL;5410;69
RONDONIA;5410;24
RORAIMA;5410;17
SANTA CATARINA;5410;185
SAO PAULO;5410;391
SERGIPE;5410;21
TOCANTINS;5410;13
ACRE;5428;18
ALAGOAS;5428;18
AMAZONAS;5428;4
AMAPA;5428;15
BAHIA;5428;75
CEARA;5428;48
DISTRITO FEDERAL;5428;110
ESPIRITO SANTO;5428;49
GOIAS;5428;49
MARANHAO;5428;8
MATO GROSSO;5428;48
MATO GROSSO DO SUL;5428;22
MINAS GERAIS;5428;266
PARA;5428;22
PARAIBA;5428;47
PARANA;5428;154
PERNAMBUCO;5428;82
PIAUI;5428;17
RIO DE JANEIRO;5428;212
RIO GRANDE DO NORTE;5428;61
RIO GRANDE DO SUL;5428;85
RONDONIA;5428;6
SANTA CATARINA;5428;198
SAO PAULO;5428;304
SERGIPE;5428;8
TOCANTINS;5428;6
AMAZONAS;5436;2
BAHIA;5436;2
DISTRITO FEDERAL;5436;21
ESPIRITO SANTO;5436;5
GOIAS;5436;5
MATO GROSSO;5436;3
MATO GROSSO DO SUL;5436;1
MINAS GERAIS;5436;17
RIO DE JANEIRO;5436;8
RIO GRANDE DO SUL;5436;1
SANTA CATARINA;5436;17
SAO PAULO;5436;20
ACRE;5444;1
ALAGOAS;5444;49
AMAZONAS;5444;8
AMAPA;5444;3
BAHIA;5444;91
CEARA;5444;70
DISTRITO FEDERAL;5444;63
ESPIRITO SANTO;5444;41
GOIAS;5444;105
MARANHAO;5444;33
MATO GROSSO;5444;30
MATO GROSSO DO SUL;5444;86
MINAS GERAIS;5444;355
PARA;5444;15
PARAIBA;5444;36
PARANA;5444;196
PERNAMBUCO;5444;138
PIAUI;5444;40
RIO DE JANEIRO;5444;214
RIO GRANDE DO NORTE;5444;121
RIO GRANDE DO SUL;5444;128
RONDONIA;5444;20
RORAIMA;5444;3
SANTA CATARINA;5444;489
SAO PAULO;5444;1313
SERGIPE;5444;59
TOCANTINS;5444;20
ACRE;5452;487
ALAGOAS;5452;379
AMAZONAS;5452;925
AMAPA;5452;92
BAHIA;5452;2295
CEARA;5452;5801
DISTRITO FEDERAL;5452;3955
ESPIRITO SANTO;5452;1600
GOIAS;5452;10193
MARANHAO;5452;647
MATO GROSSO;5452;663
MATO GROSSO DO SUL;5452;925
MINAS GERAIS;5452;4998
PARA;5452;1541
PARAIBA;5452;1588
PARANA;5452;4879
PERNAMBUCO;5452;1712
PIAUI;5452;1034
RIO DE JANEIRO;5452;5926
RIO GRANDE DO NORTE;5452;1635
RIO GRANDE DO SUL;5452;959
RONDONIA;5452;158
RORAIMA;5452;44
SANTA CATARINA;5452;2833
SAO PAULO;5452;15816
SERGIPE;5452;1025
TOCANTINS;5452;122
ACRE;5460;20
ALAGOAS;5460;63
AMAZONAS;5460;57
AMAPA;5460;11
BAHIA;5460;373
CEARA;5460;105
DISTRITO FEDERAL;5460;67
ESPIRITO SANTO;5460;138
